,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,, ,Rimnik,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_081,,,,,,RV01_082,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Zhdrellë,,,,,,Xërxë,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Nëntor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,29.04.2013,21.11.2013,,,,,28.03.2013,29.04.2013,29.05.2013,,26.06.2013,31.07.2013,,,,,21.11.2013,,,,28.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,14:25,16:00,,,,,14:20,13:55,10:25,,10:30,12:40,,,,,15:10,,,,11:15,,,,,,,
1002,Moti,M,vrojtim,dill,vranet,,,,,me diell,me diell,me diell,,me diell,diell,,,,,vranet,,,,vranet,,,,,,,
1003,Temperatura e ujit ,Tu,0C,19.4,11.6,11.600,15.500,19.400,2,11.9,19.3,14.8,15.333,16.3,20.1,,18.200,,,12.1,12.100,,,6.7,6.700,6.700,14.457,20.100,14.800,4.674,7
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,pa,,,,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,pa,pa,0.000,,0.000,0,,pa,,,,pa,,,,,pa,,,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,6,15.2,6.000,10.600,15.200,2,20,7.9,12.6,13.500,7,6.9,,6.950,,,115,115.000,,,12.6,12.600,6.900,26.000,115.000,12.600,39.517,7
1008,Perqueshmëria elektrike,χ,µScm-1,648,697,648.000,672.500,697.000,2,728,732,766,742.000,730,697,,713.500,,,704,704.000,,,750,750.000,697.000,729.571,766.000,730.000,24.041,7
1009,Materiet e tretshme në ujë,M.tert.,mg/l,324,348,324.000,336.000,348.000,2,382,366,383,377.000,365,349,,357.000,,,352,352.000,,,374,374.000,349.000,367.286,383.000,366.000,13.438,7
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.06,,8.060,8.060,8.060,1,7.86,7.78,8.29,7.977,7.56,7.95,,7.755,,,,,,,8.2,8.200,7.560,7.940,8.290,7.905,0.271,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
