,,,Pellgu Drini i Bardhë,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lumi,, ,Ereniku,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Kodi i stacionit,,,RV01_071,,,,,,RV01_072,,,,,,,,,,,,,,,,,,,,,
,Vendmostrimi,,,Jasiq,,,,,,Ura e Terzive,,,,,,,,,,,,,,,,,,,,,
,Viti,2013,,Prill,Dhjetor,Min,Mes,Max,Numri I mostrave,Mars,Prill,Maj,3mujori I,Qershor,Korrik,Gusht,3mujori II,Shtator,Tetor,Nëntor,3mujori III,Dhjetor,Janar,Shkurt,3mujoriIV,Min,Mes,Max,Median,Devstandart,Numri I mostrave
,Data,,,18.04.2013,16.12.2013,,,,,19.03.2013,18.04.2013,23.05.2013,,25.06.2013,17.07.2013,,,,,05.11.2013,,16.12.2013,22.01.2013,20.02.2013,,,,,,,
Numri I parametrave,Treguesit ,Simboli ,Njësia ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PARAMETRAT FIZIK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1001,Ora,h,0:00,12:45,13:30,,,,,11:20,11:30,11:30,,11:45,12:50,,,,,13:10,,11:30,11:55,11:45,,,,,,,
1002,Moti,M,vrojtim,me diell,diell,,,,,varnet,me diell,me shi,,vranet,diell,,,,,vranet,,diell,vranet,me diell,,,,,,,
1003,Temperatura e ujit ,Tu,0C,9.3,4.1,4.100,6.700,9.300,2,8.5,11.3,12.3,10.700,19.9,21.9,,20.900,,,15.6,15.600,4.5,6.1,8.9,6.500,4.500,12.111,21.900,11.300,5.987,9
1004,Temperatura e ajrit,TA,0C,,,0.000,,0.000,0,,,,,,,,,,,,,,,,,0.000,,0.000,,,0
1005,Aroma ,Ar,nuhatje,pa,pa,0.000,,0.000,0,pa,pa,pa,,pa,pa,,,,,pa,,pa,pa,pa,,0.000,,0.000,,,0
1006,Ngjyra,Ngj,Co/Pt,,pa,0.000,,0.000,0,,,,,,pa,,,,,pa,,pa,,,,0.000,,0.000,,,0
1007,Turbullira,Tur,NTU,13.8,8.8,8.800,11.300,13.800,2,31,118,6.4,51.800,145,12.3,,78.650,,,4.1,4.100,16.1,239,16.6,90.567,4.100,65.389,239.000,16.600,83.137,9
1008,Perqueshmëria elektrike,χ,µScm-1,127,157,127.000,142.000,157.000,2,174,237,182,197.667,318,362,,340.000,,,472,472.000,333,162,330,275.000,162.000,285.556,472.000,318.000,104.089,9
1009,Materiet e tretshme në ujë,M.tert.,mg/l,63,78,63.000,70.500,78.000,2,87,118,91,98.667,159,181,,170.000,,,236,236.000,165,81,164,136.667,81.000,142.444,236.000,159.000,51.938,9
1010,Përqëndrimi i jonit hidrogjen,pH,0-14,8.2,,8.200,8.200,8.200,1,8.28,8.15,7.78,8.070,8.04,8.21,,8.125,,,8.56,8.560,,8.15,8.31,8.230,7.780,8.185,8.560,8.180,0.225,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
